file,finding_key,finding_title,finding_id,severity,detection_rate,detections,n_runs,ci_lo_95,ci_hi_95,conf_mean,conf_std,conf_min,conf_max,source_hyp_ids,stable,gate_pass,gate_fail,gate_needs_human,gate_consistency
WebGoat_AddNewUser.aspx.cs,username input validation bypass leading to injection vulnerability|High,Username Input Validation Bypass Leading to Injection Vulnerability,,High,0.6000,6,10,0.3127,0.8318,0.9000,0.0000,0.9000,0.9000,HYP-001,no,0,6,4,0.6000
WebGoat_AddNewUser.aspx.cs,hardcoded security question exposure|Medium,Hardcoded Security Question Exposure,,Medium,0.6000,6,10,0.3127,0.8318,0.9000,0.0000,0.9000,0.9000,HYP-003,no,0,6,4,0.6000
WebGoat_AddNewUser.aspx.cs,authentication bypass via username validation bypass|High,Authentication Bypass via Username Validation Bypass,,High,0.6000,6,10,0.3127,0.8318,0.8500,0.0000,0.8500,0.8500,HYP-004,no,0,6,4,0.6000
WebGoat_AddNewUser.aspx.cs,potential authentication bypass via username validation bypass|Medium,Missing Input Validation for Username in User Registration,,Medium,0.4000,4,10,0.1682,0.6873,0.9000,0.0000,0.9000,0.9000,HYP-001,no,0,6,4,0.6000
WebGoat_AddNewUser.aspx.cs,weak password validation allows credential compromise|Medium,Weak Password Validation Allows Credential Compromise,,Medium,0.4000,4,10,0.1682,0.6873,0.8500,0.0000,0.8500,0.8500,HYP-002,no,0,6,4,0.6000
WebGoat_AddNewUser.aspx.cs,unrestricted account creation enables unauthorized access|Medium,Unrestricted Account Creation Enables Unauthorized Access,,Medium,0.4000,4,10,0.1682,0.6873,0.9000,0.0000,0.9000,0.9000,HYP-003,no,0,6,4,0.6000
WebGoat_AddNewUser.aspx.designer.cs,missing authorization check on user creation|High,Missing Authorization Check on User Creation,,High,1.0000,10,10,0.7225,1.0000,0.3000,0.0000,0.3000,0.3000,HYP-001,yes,0,4,6,0.6000
WebGoat_AddNewUser.aspx.designer.cs,potential exposure of security question answer|Medium,Potential Exposure of Security Question/Answer,,Medium,0.6000,6,10,0.3127,0.8318,0.3000,0.0000,0.3000,0.3000,HYP-002,no,0,4,6,0.6000
WebGoat_AddNewUser.aspx.designer.cs,potential input sanitization issues in user fields|Medium,Potential Input Sanitization Issues in User Fields,,Medium,0.6000,6,10,0.3127,0.8318,0.3000,0.0000,0.3000,0.3000,HYP-003,no,0,4,6,0.6000
WebGoat_AddNewUser.aspx.designer.cs,potential sql injection vulnerability in user creation|High,Potential SQL Injection Vulnerability in User Creation,,High,0.4000,4,10,0.1682,0.6873,0.3000,0.0000,0.3000,0.3000,HYP-002,no,0,4,6,0.6000
WebGoat_AddNewUser.aspx.designer.cs,hardcoded credentials or connection strings in user creation logic|Medium,Hardcoded Credentials or Connection Strings,,Medium,0.4000,4,10,0.1682,0.6873,0.3000,0.0000,0.3000,0.3000,HYP-003,no,0,4,6,0.6000
WebGoat_App_Code_ConfigFile.cs,potential for configuration based injection|Medium,Insecure Configuration - No Input Validation or Sanitization in Config File Parser,,Medium,1.0000,10,10,0.7225,1.0000,0.7500,0.0000,0.7500,0.7500,HYP-001,yes,0,0,10,1.0000
WebGoat_App_Code_CookieManager.cs,potential authentication bypass due to missing cookie addition|High,Missing Authentication Cookie Addition to HTTP Response,,High,1.0000,10,10,0.7225,1.0000,0.9500,0.0000,0.9500,0.9500,HYP-001,yes,0,0,10,1.0000
WebGoat_App_Code_CustomerLoginData.cs,missing authorization check on isloggedin flag|Medium,Insecure Direct Object Reference in CustomerLoginData,,Medium,1.0000,10,10,0.7225,1.0000,0.9000,0.0000,0.9000,0.9000,HYP-001,yes,10,0,0,1.0000
WebGoat_App_Code_CustomerLoginData.cs,incorrect assignment in message property setter|Medium,Potential Injection Vulnerability via Message Property Setter,,Medium,1.0000,10,10,0.7225,1.0000,0.9000,0.0000,0.9000,0.9000,HYP-002,yes,10,0,0,1.0000
WebGoat_App_Code_DB_DbProviderFactory.cs,potential information disclosure via logging of database type|Medium,Potential Information Disclosure via Logging,,Medium,1.0000,10,10,0.7225,1.0000,0.9000,0.0000,0.9000,0.9000,HYP-001,yes,10,0,0,1.0000
WebGoat_App_Code_DB_DbProviderFactory.cs,infrastructure enumeration via logging of database type|Medium,Infrastructure Enumeration via Logging of Database Type,,Medium,1.0000,10,10,0.7225,1.0000,0.9000,0.0000,0.9000,0.9000,HYP-004,yes,10,0,0,1.0000
WebGoat_App_Code_DB_DummyDbProvider.cs,potential hardcoded credentials in dummy database provider|Medium,Potential Hardcoded Credentials or Configuration Values,,Medium,1.0000,10,10,0.7225,1.0000,0.3000,0.0000,0.3000,0.3000,HYP-001,yes,0,0,10,1.0000
WebGoat_App_Code_DB_DummyDbProvider.cs,missing authorization checks in database methods|Medium,Missing Authorization Checks in Database Methods,,Medium,1.0000,10,10,0.7225,1.0000,0.3000,0.0000,0.3000,0.3000,HYP-002,yes,0,0,10,1.0000
WebGoat_App_Code_DB_DummyDbProvider.cs,potential sql injection vulnerability in database methods|Medium,Potential SQL Injection Vulnerability in Database Methods,,Medium,1.0000,10,10,0.7225,1.0000,0.3000,0.0000,0.3000,0.3000,HYP-003,yes,0,0,10,1.0000
WebGoat_App_Code_DB_IDbProvider.cs,potential authentication bypass via missing authorization checks|High,Potential Authentication Bypass via Missing Authorization Checks,,High,1.0000,10,10,0.7225,1.0000,0.3000,0.0000,0.3000,0.3000,HYP-001,yes,0,0,10,1.0000
WebGoat_App_Code_DB_IDbProvider.cs,potential sql injection vulnerability in database methods|High,Potential SQL Injection Vulnerability in Database Methods,,High,1.0000,10,10,0.7225,1.0000,0.3000,0.0000,0.3000,0.3000,HYP-002,yes,0,0,10,1.0000
WebGoat_App_Code_DB_IDbProvider.cs,hardcoded credentials or connection strings in database interface implementation|Medium,Hardcoded Credentials or Connection Strings in Database Interface,,Medium,1.0000,10,10,0.7225,1.0000,0.3000,0.0000,0.3000,0.3000,HYP-003,yes,0,0,10,1.0000
WebGoat_App_Code_DB_MySqlDbProvider.cs,sql injection via string concatenation in mysqldbprovider|Critical,SQL Injection via String Concatenation in MySqlDbProvider,,Critical,1.0000,10,10,0.7225,1.0000,0.9500,0.0000,0.9500,0.9500,HYP-001,yes,0,10,0,1.0000
WebGoat_App_Code_DB_MySqlDbProvider.cs,hardcoded database credentials in configuration files|High,Hardcoded Database Credentials in Configuration Files,,High,1.0000,10,10,0.7225,1.0000,0.9000,0.0000,0.9000,0.9000,HYP-004,yes,0,10,0,1.0000
WebGoat_App_Code_DB_MySqlDbProvider.cs,information disclosure via misconfigured configuration files|Medium,Information Disclosure via Misconfigured Configuration Files,,Medium,1.0000,10,10,0.7225,1.0000,0.9000,0.0000,0.9000,0.9000,HYP-006,yes,0,10,0,1.0000
WebGoat_App_Code_DB_SqliteDbProvider.cs,sql injection in customerlogin query|High,SQL Injection in CustomerLogin Query,,High,1.0000,10,10,0.7225,1.0000,0.9500,0.0000,0.9500,0.9500,HYP-001,yes,0,10,0,1.0000
WebGoat_App_Code_DB_SqliteDbProvider.cs,sql injection in getcustomeremail method|High,SQL Injection in GetCustomerEmail Method,,High,1.0000,10,10,0.7225,1.0000,0.9500,0.0000,0.9500,0.9500,HYP-002; HYP-003; HYP-004; HYP-005; HYP-006; HYP-008; HYP-009; HYP-010,yes,0,10,0,1.0000
WebGoat_App_Code_DB_SqliteDbProvider.cs,sql injection in getproductsandcategories method|High,SQL Injection in GetProductsAndCategories Method,,High,1.0000,10,10,0.7225,1.0000,0.9500,0.0000,0.9500,0.9500,HYP-007,yes,0,10,0,1.0000
WebGoat_App_Code_Encoder.cs,potential weakness in encryption implementation using default rijndael settings|High,Use of Weak Encryption Algorithm (RijndaelManaged with Default Settings),,High,1.0000,10,10,0.7225,1.0000,0.9000,0.0000,0.9000,0.9000,HYP-001,yes,0,10,0,1.0000
WebGoat_App_Code_Encoder.cs,hardcoded salt in key derivation function|Medium,Hardcoded Salt in Encryption Implementation,,Medium,1.0000,10,10,0.7225,1.0000,0.9000,0.0000,0.9000,0.9000,HYP-002,yes,0,10,0,1.0000
WebGoat_App_Code_Encoder.cs,possible insecure direct object reference in authentication ticket handling|Medium,Potential Insecure Direct Object Reference in Forms Authentication Ticket Handling,,Medium,1.0000,10,10,0.7225,1.0000,0.8000,0.0000,0.8000,0.8000,HYP-003,yes,0,10,0,1.0000
WebGoat_App_Code_Settings.cs,environment variable exposure in logs|Medium,Environment Variable Exposure in Logs,,Medium,1.0000,10,10,0.7225,1.0000,0.9000,0.0000,0.9000,0.9000,HYP-001,yes,0,0,10,1.0000
WebGoat_App_Code_Util.cs,os command injection via processstartinfo|High,OS Command Injection via ProcessStartInfo,,High,1.0000,10,10,0.7225,1.0000,0.9500,0.0000,0.9500,0.9500,HYP-001,yes,0,10,0,1.0000
WebGoat_App_Code_Util.cs,command line injection via file input|High,Command Line Injection via File Input,,High,1.0000,10,10,0.7225,1.0000,0.9000,0.0000,0.9000,0.9000,HYP-002,yes,0,10,0,1.0000
WebGoat_App_Code_Util.cs,sensitive data exposure via logging|Medium,Sensitive Data Exposure via Logging,,Medium,1.0000,10,10,0.7225,1.0000,0.8500,0.0000,0.8500,0.8500,HYP-003,yes,0,10,0,1.0000
WebGoat_App_Code_Util.cs,chained command injection attack|High,Chained Command Injection Attack,,High,1.0000,10,10,0.7225,1.0000,0.8000,0.0000,0.8000,0.8000,HYP-004,yes,0,10,0,1.0000
WebGoat_App_Code_Util.cs,sensitive data exposure through process output logs|Medium,Sensitive Data Exposure Through Process Output Logs,,Medium,1.0000,10,10,0.7225,1.0000,0.8500,0.0000,0.8500,0.8500,HYP-006,yes,0,10,0,1.0000
WebGoat_App_Code_VeryWeakRandom.cs,use of predictable random number generator in security critical contexts|High,Use of Very Weak Random Number Generator,,High,1.0000,10,10,0.7225,1.0000,0.9500,0.0000,0.9500,0.9500,HYP-001,yes,0,0,10,1.0000
WebGoat_App_Code_WeakMessageDigest.cs,use of weak custom hash algorithm in security context|High,Use of Weak Cryptographic Algorithm,,High,1.0000,10,10,0.7225,1.0000,0.9500,0.0000,0.9500,0.9500,HYP-001,yes,0,0,10,1.0000
WebGoat_App_Code_WeakRandom.cs,use of predictable random number generator in security token generation|High,Use of Weak Random Number Generator,,High,1.0000,10,10,0.7225,1.0000,0.9500,0.0000,0.9500,0.9500,HYP-001,yes,0,10,0,1.0000
WebGoat_App_Data_XmlInjectionUsers.xml,potential xxe vulnerability in xmlinjectionusers xml processing|High,XML Injection Vulnerability,,High,1.0000,10,10,0.7225,1.0000,0.9000,0.0000,0.9000,0.9000,HYP-001,yes,0,10,0,1.0000
WebGoat_App_Data_XmlInjectionUsers.xml,xml injection via user input in xmlinjectionusers xml|High,XML Injection via User Input,,High,1.0000,10,10,0.7225,1.0000,0.9000,0.0000,0.9000,0.9000,HYP-003,yes,0,10,0,1.0000
WebGoat_ChangePassword.aspx.cs,missing authorization check on password change endpoint|High,Potential Missing Authorization Check,,High,1.0000,10,10,0.7225,1.0000,0.9000,0.0000,0.9000,0.9000,HYP-001,yes,0,0,10,1.0000
WebGoat_ChangePassword.aspx.cs,potential sensitive data exposure in password change process|Medium,Possible Sensitive Data Exposure,,Medium,1.0000,10,10,0.7225,1.0000,0.3000,0.0000,0.3000,0.3000,HYP-002,yes,0,0,10,1.0000
WebGoat_ChangePassword.aspx.designer.cs,missing authorization check on password change functionality|High,Missing Authorization Check on Password Change Functionality,,High,1.0000,10,10,0.7225,1.0000,0.3000,0.0000,0.3000,0.3000,HYP-001,yes,0,0,10,1.0000
WebGoat_ChangePassword.aspx.designer.cs,potential exposure of password change ui elements|Medium,Potential Exposure of Password Change UI Elements,,Medium,0.6000,6,10,0.3127,0.8318,0.3000,0.0000,0.3000,0.3000,HYP-002,no,0,0,10,1.0000
WebGoat_ChangePassword.aspx.designer.cs,public exposure of password change interface without authentication|Medium,Potential Exposure of Password Change Functionality,,Medium,0.4000,4,10,0.1682,0.6873,0.3000,0.0000,0.3000,0.3000,HYP-002,no,0,0,10,1.0000
WebGoat_Code_DatabaseUtilities.cs,sql injection in getemailbyuserid method|High,SQL Injection in GetEmailByUserID Method,,High,1.0000,10,10,0.7225,1.0000,0.9500,0.0000,0.9500,0.9500,HYP-001; HYP-003; HYP-005,yes,0,10,0,1.0000
WebGoat_Code_DatabaseUtilities.cs,sql injection in getmailinglistinfobyemailaddress method|High,SQL Injection in GetMailingListInfoByEmailAddress Method,,High,1.0000,10,10,0.7225,1.0000,0.9500,0.0000,0.9500,0.9500,HYP-002,yes,0,10,0,1.0000
WebGoat_Code_DatabaseUtilities.cs,sql injection in addnewposting method|High,SQL Injection in AddNewPosting Method,,High,1.0000,10,10,0.7225,1.0000,0.9500,0.0000,0.9500,0.9500,HYP-004,yes,0,10,0,1.0000
WebGoat_Code_IOHelper.cs,insecure direct object reference idor in iohelper readallfromfile|High,Insecure Direct Object Reference (IDOR) in file reading function,,High,1.0000,10,10,0.7225,1.0000,0.9500,0.0000,0.9500,0.9500,HYP-001,yes,0,0,10,1.0000
WebGoat_Code_IOHelper.cs,potential information disclosure via path traversal|High,Potential Information Disclosure via Path Traversal,,High,1.0000,10,10,0.7225,1.0000,0.9000,0.0000,0.9000,0.9000,HYP-002,yes,0,0,10,1.0000
WebGoat_Code_SQLiteMembershipProvider.cs,use of weak hashing algorithm for password storage|High,Use of Weak Hashing Algorithm for Password Storage,,High,1.0000,10,10,0.7225,1.0000,0.9500,0.0000,0.9500,0.9500,HYP-001,yes,0,10,0,1.0000
WebGoat_Code_SQLiteMembershipProvider.cs,sql injection vulnerability in application id retrieval|High,SQL Injection Vulnerability in Application ID Retrieval,,High,1.0000,10,10,0.7225,1.0000,0.9000,0.0000,0.9000,0.9000,HYP-002,yes,0,10,0,1.0000
WebGoat_Code_SQLiteMembershipProvider.cs,missing authorization check on user data access|Medium,Missing Authorization Check on User Data Access,,Medium,1.0000,10,10,0.7225,1.0000,0.8500,0.0000,0.8500,0.8500,HYP-003,yes,0,10,0,1.0000
WebGoat_Code_SQLiteProfileProvider.cs,insecure deserialization with binaryformatter in profile provider|High,Use of BinaryFormatter in Profile Property Serialization,,High,1.0000,10,10,0.7225,1.0000,0.9500,0.0000,0.9500,0.9500,HYP-001,yes,0,10,0,1.0000
WebGoat_Code_SQLiteProfileProvider.cs,potential sql injection via string concatenation in profile provider|High,Potential SQL Injection via String Concatenation,,High,1.0000,10,10,0.7225,1.0000,0.9000,0.0000,0.9000,0.9000,HYP-002,yes,0,10,0,1.0000
WebGoat_Code_SQLiteRoleProvider.cs,missing authorization check in role management methods|High,Missing Authorization Check in Role Management Methods,,High,1.0000,10,10,0.7225,1.0000,0.9000,0.0000,0.9000,0.9000,HYP-001,yes,0,10,0,1.0000
WebGoat_Code_SQLiteRoleProvider.cs,potential sql injection vulnerability in findusersinrole|High,Potential SQL Injection Vulnerability in FindUsersInRole,,High,1.0000,10,10,0.7225,1.0000,0.9000,0.0000,0.9000,0.9000,HYP-002,yes,0,10,0,1.0000
WebGoat_Code_SQLiteRoleProvider.cs,insecure direct object reference in role management|High,Insecure Direct Object Reference in Role Management,,High,1.0000,10,10,0.7225,1.0000,0.9000,0.0000,0.9000,0.9000,HYP-003,yes,0,10,0,1.0000
WebGoat_Content_About.aspx.cs,missing authorization check on about page|Medium,Potential Missing Authorization Check,,Medium,1.0000,10,10,0.7225,1.0000,0.9000,0.0000,0.9000,0.9000,HYP-001,yes,0,0,10,1.0000
WebGoat_Content_BasicAuth.aspx.cs,missing authorization check on basicauth page|Medium,Potential Missing Authorization Check,,Medium,1.0000,10,10,0.7225,1.0000,0.9000,0.0000,0.9000,0.9000,HYP-001,yes,0,10,0,1.0000
WebGoat_Content_BasicAuth.aspx.cs,missing authentication logic on basicauth page|High,Missing Authentication Logic,,High,1.0000,10,10,0.7225,1.0000,0.9000,0.0000,0.9000,0.9000,HYP-002,yes,0,10,0,1.0000
WebGoat_Content_Challenge1.aspx.cs,missing authorization check on challenge1 page|Medium,Potential Missing Authorization Check,,Medium,1.0000,10,10,0.7225,1.0000,0.9000,0.0000,0.9000,0.9000,HYP-001,yes,0,10,0,1.0000
WebGoat_Content_Challenge1.aspx.cs,verbose error exposure in challenge1 page|Low,Verbose Error Handling,,Low,1.0000,10,10,0.7225,1.0000,0.8500,0.0000,0.8500,0.8500,HYP-002,yes,0,10,0,1.0000
WebGoat_Content_Challenge1.aspx.designer.cs,potential missing authorization check in challenge1 handler|Medium,Potential Missing Authorization Check,,Medium,1.0000,10,10,0.7225,1.0000,0.3000,0.0000,0.3000,0.3000,HYP-001,yes,0,0,10,1.0000
WebGoat_Content_Challenge1.aspx.designer.cs,verbose debug error handling possible in challenge1 handler|Low,Debug/Verbose Error Handling Possible,,Low,1.0000,10,10,0.7225,1.0000,0.3000,0.0000,0.3000,0.3000,HYP-002,yes,0,0,10,1.0000
WebGoat_Content_Challenge2.aspx.cs,missing authorization check on challenge2 page|Medium,Potential Missing Authorization Check,,Medium,1.0000,10,10,0.7225,1.0000,0.9000,0.0000,0.9000,0.9000,HYP-001,yes,0,10,0,1.0000
WebGoat_Content_Challenge2.aspx.cs,verbose error handling in challenge2 page|Low,Verbose Error Handling,,Low,1.0000,10,10,0.7225,1.0000,0.8500,0.0000,0.8500,0.8500,HYP-002,yes,0,10,0,1.0000
WebGoat_Content_Challenge2.aspx.designer.cs,potential missing authorization check in challenge2 form handler|Medium,Potential Missing Authorization Check,,Medium,1.0000,10,10,0.7225,1.0000,0.3000,0.0000,0.3000,0.3000,HYP-001,yes,0,0,10,1.0000
WebGoat_Content_Challenge2.aspx.designer.cs,possible debug verbose logging exposure in challenge2 designer file|Low,Possible Debug/Verbose Logging Enabled,,Low,1.0000,10,10,0.7225,1.0000,0.4000,0.0000,0.4000,0.4000,HYP-002,yes,0,0,10,1.0000
WebGoat_Content_Challenge3.aspx.cs,missing authorization check on challenge3 page|Medium,Potential Missing Authorization Check,,Medium,1.0000,10,10,0.7225,1.0000,0.9000,0.0000,0.9000,0.9000,HYP-001,yes,0,0,10,1.0000
WebGoat_Content_Challenge3.aspx.cs,verbose error handling leading to information disclosure|Low,Verbose Error Handling,,Low,1.0000,10,10,0.7225,1.0000,0.8500,0.0000,0.8500,0.8500,HYP-002,yes,0,0,10,1.0000
WebGoat_Content_Challenge3.aspx.designer.cs,possible debug verbose logging enabled in challenge3 designer file|Low,Possible Debug/Verbose Logging Enabled,,Low,1.0000,10,10,0.7225,1.0000,0.9000,0.0000,0.9000,0.9000,HYP-002,yes,0,0,10,1.0000
WebGoat_Content_ChangePwd.aspx.cs,missing authentication check in password change page|Critical,Potential Authentication Bypass in Password Change Page,,Critical,1.0000,10,10,0.7225,1.0000,0.9000,0.0000,0.9000,0.9000,HYP-001,yes,0,10,0,1.0000
WebGoat_Content_ChangePwd.aspx.cs,missing authorization check in password change functionality|High,Missing Authorization Check in Password Change Functionality,,High,1.0000,10,10,0.7225,1.0000,0.9000,0.0000,0.9000,0.9000,HYP-002,yes,0,10,0,1.0000
WebGoat_Default.aspx.cs,information disclosure via server name in http cookie|Medium,Information Exposure Through Server Name in Cookie,,Medium,1.0000,10,10,0.7225,1.0000,0.8700,0.0258,0.8500,0.9000,HYP-001,yes,0,10,0,1.0000
WebGoat_Default.aspx.cs,missing authorization check before database rebuild redirect|High,Missing Authorization Check on Database Rebuild Functionality,,High,0.6000,6,10,0.3127,0.8318,0.7500,0.0000,0.7500,0.7500,HYP-002,no,0,10,0,1.0000
WebGoat_Default.aspx.cs,session identifier exposure in viewstate|Medium,Session Identifier Exposure in ViewState,,Medium,0.4000,4,10,0.1682,0.6873,0.9000,0.0000,0.9000,0.9000,HYP-002,no,0,10,0,1.0000
WebGoat_Default.aspx.cs,session hijacking via viewstate session id storage|High,Session Hijacking via ViewState Session ID Storage,,High,0.4000,4,10,0.1682,0.6873,0.9000,0.0000,0.9000,0.9000,HYP-006,no,0,10,0,1.0000
WebGoat_Default.aspx.designer.cs,potential missing authorization check on ui button control|High,Potential Missing Authorization Check,,High,1.0000,10,10,0.7225,1.0000,0.3000,0.0000,0.3000,0.3000,HYP-001,yes,0,0,10,1.0000
WebGoat_Default.aspx.designer.cs,potential sensitive data exposure via ui label control|Medium,Potential Sensitive Data Exposure,,Medium,1.0000,10,10,0.7225,1.0000,0.3000,0.0000,0.3000,0.3000,HYP-002,yes,0,0,10,1.0000
WebGoat_ForgotPassword.aspx.cs,missing authorization check in password reset functionality|High,Potential Missing Authorization Check in Password Reset Functionality,,High,1.0000,10,10,0.7225,1.0000,0.6600,0.3098,0.3000,0.9000,HYP-001,yes,0,6,4,0.6000
WebGoat_ForgotPassword.aspx.cs,information disclosure in password reset flow|Medium,Possible Information Disclosure in Password Reset Flow,,Medium,1.0000,10,10,0.7225,1.0000,0.6600,0.3098,0.3000,0.9000,HYP-002,yes,0,6,4,0.6000
WebGoat_Global.asax.cs,xss protection disabled via header manipulation|High,X-XSS-Protection Header Set to Disabled,,High,0.6000,6,10,0.3127,0.8318,0.9000,0.0000,0.9000,0.9000,HYP-001,no,0,10,0,1.0000
WebGoat_Global.asax.cs,insecure role assignment from formsauthenticationticket|High,Potential Insecure Role Assignment,,High,1.0000,10,10,0.7225,1.0000,0.8500,0.0000,0.8500,0.8500,HYP-002,yes,0,10,0,1.0000
WebGoat_Global.asax.cs,weak authentication ticket handling|Medium,Possible Weak Authentication Ticket Handling,,Medium,0.6000,6,10,0.3127,0.8318,0.8000,0.0000,0.8000,0.8000,HYP-003,no,0,10,0,1.0000
WebGoat_Global.asax.cs,potential information disclosure via debug logging|Medium,Potential Information Disclosure via Debug Mode,,Medium,1.0000,10,10,0.7225,1.0000,0.8000,0.0000,0.8000,0.8000,HYP-004,yes,0,10,0,1.0000
WebGoat_Global.asax.cs,xss protection disabled via header manipulation|Medium,X-XSS-Protection Header Set to Zero,,Medium,0.4000,4,10,0.1682,0.6873,0.9000,0.0000,0.9000,0.9000,HYP-001,no,0,10,0,1.0000
WebGoat_LoginPage.aspx.cs,bypassable authentication via redirect|High,Bypassable Authentication Logic,,High,0.6000,6,10,0.3127,0.8318,0.9000,0.0000,0.9000,0.9000,HYP-001,no,0,10,0,1.0000
WebGoat_LoginPage.aspx.cs,missing authentication implementation|High,Missing Authentication Implementation,,High,0.6000,6,10,0.3127,0.8318,0.9000,0.0000,0.9000,0.9000,HYP-002,no,0,10,0,1.0000
WebGoat_LoginPage.aspx.cs,commented out security controls|Medium,Commented-Out Security Controls,,Medium,0.6000,6,10,0.3127,0.8318,0.9000,0.0000,0.9000,0.9000,HYP-003,no,0,10,0,1.0000
WebGoat_LoginPage.aspx.cs,unconditional redirect bypassing authentication|High,Authentication Bypass via Redirect,,High,0.4000,4,10,0.1682,0.6873,0.9500,0.0000,0.9500,0.9500,HYP-001,no,0,10,0,1.0000
WebGoat_LoginPage.aspx.cs,missing input validation and error handling|High,Missing Authentication Logic,,High,0.4000,4,10,0.1682,0.6873,0.9000,0.0000,0.9000,0.9000,HYP-002,no,0,10,0,1.0000
WebGoat_LoginPage.aspx.cs,hardcoded redirect target exposes internal structure|Medium,Insecure Direct Object Reference,,Medium,0.4000,4,10,0.1682,0.6873,0.8500,0.0000,0.8500,0.8500,HYP-003,no,0,10,0,1.0000
WebGoat_LoginPage.aspx.designer.cs,potential missing authentication check on admin login button|High,Potential Missing Authentication Check on Admin Login Button,,High,1.0000,10,10,0.7225,1.0000,0.3000,0.0000,0.3000,0.3000,HYP-001,yes,0,0,10,1.0000
